"Story","Title","Result","Date","Stability","Duration (s)"
"Crear un nuevo producto en el sistema","Crear un producto exitosamente","SUCCESS","2025-12-09T19:45:26.4088723-05:00[America/Bogota]","0.0","33.59"
"Crear un nuevo usuario en el sistema","Crear un nuevo usuario exitosamente","SUCCESS","2025-12-09T19:42:45.7167595-05:00[America/Bogota]","0.0","46.92"
"Editar producto existente","Editar un producto existente exitosamente","SUCCESS","2025-12-09T19:46:04.1813828-05:00[America/Bogota]","0.0","14.03"
"Editar usuario existente","Editar un usuario existente exitosamente","SUCCESS","2025-12-09T19:43:38.2009749-05:00[America/Bogota]","0.0","17.46"
"Eliminar producto del sistema","Eliminar un producto existente","SUCCESS","2025-12-09T19:46:19.0395145-05:00[America/Bogota]","0.0","54.26"
"Eliminar usuario del sistema","Eliminar un usuario existente","SUCCESS","2025-12-09T19:43:56.4872747-05:00[America/Bogota]","0.0","52.11"
